id;a-10a;A-10C;A-10C II;A-10C II_easy;A-10C_easy;A-4E-C;AJS37;AV8BNA;Bf-109K-4;Bf-109K-4_easy;C-101CC;C-101EB;Christen Eagle II;Default;F-14;F-14_RIO;F-15C;F-16C_50;F-16C_50_easy;F-5E-3;F-5E-3_easy;F-86F;F-86F_easy;FA-18C_hornet;FA-18C_hornet_easy;FW-190A8;FW-190A8_easy;FW-190D9;FW-190D9_easy;ground_unit;I-16;J-11A;JF-17;ka-50;ka-50_easy;L-39C;L-39ZA;M-2000C;mi-8mt;mi-8mt_easy;mi-8mt_Gunner;mi-8mt_TrackIR_Gunner;MiG-15bis;MiG-15bis_easy;MiG-19P;MiG-19P_easy;MiG-21Bis;mig-29;mig-29c;mig-29g;NS430;P-47D-30;P-47D-30_easy;P-51D-30-NA;P-51D-30-NA_easy;SA342;SpitfireLFMkIX;SpitfireLFMkIXCW;SpitfireLFMkIX_easy;su-25;su-25T;su-27;su-33;TF-51D;TF-51D_easy;UH-1H;UH-1H_easy;UH-1H_Gunner;UH-1H_TrackIR_Gunner;UiLayer;Yak-52;Yak-52_easy
d313pnilu311cdnilvdnilvpnilvunil;;Left Engine Throttle Set OFF;Left Engine Throttle Set OFF;Left Engine Throttle Set OFF;Left Engine Throttle Set OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d314pnilu312cdnilvdnilvpnilvunil;;Right Engine Throttle Set OFF;Right Engine Throttle Set OFF;Right Engine Throttle Set OFF;Right Engine Throttle Set OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d1593pnilu1594cdnilvdnilvpnilvunil;Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);;Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode on/off;Camera transpose mode on/off;Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);;Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);Camera transpose mode (press and hold);;Camera transpose mode (press and hold);Camera transpose mode (press and hold)
d51pnilunilcdnilvdnilvpnilvunil;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;Exit mission;Exit mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;Exit mission;Exit mission;Exit mission;Exit mission;;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;;;End mission;End mission;End mission;End mission;End mission;End mission;End mission;End mission;;End mission;End mission;Exit mission;Exit mission;End mission;Exit mission;Exit mission;Exit mission;End mission;End mission;End mission;End mission;Exit mission;Exit mission;End mission;End mission;;;as Escape;Exit mission;Exit mission
d7pnilunilcdnilvdnilvpnilvunil;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;Gunner Role;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;;;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;F1 Cockpit view;;;;F1 Cockpit view;F1 Cockpit view
d264pnilunilcdnilvdnilvpnilvunil;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Labels Aircraft;Labels Aircraft;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Labels Aircraft;Labels Aircraft;Labels Aircraft;Labels Aircraft;;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;;;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;;Aircraft Labels;Aircraft Labels;Labels Aircraft;Labels Aircraft;Aircraft Labels;Labels Aircraft;Labels Aircraft;Labels Aircraft;Aircraft Labels;Aircraft Labels;Aircraft Labels;Aircraft Labels;Labels Aircraft;Labels Aircraft;Aircraft Labels;Aircraft Labels;;;;Labels Aircraft;Labels Aircraft
d261pnilunilcdnilvdnilvpnilvunil;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;Labels All;Labels All;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;Labels All;Labels All;Labels All;Labels All;;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;;;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;All Labels;;All Labels;All Labels;Labels All;Labels All;All Labels;Labels All;Labels All;Labels All;All Labels;All Labels;All Labels;All Labels;Labels All;Labels All;All Labels;All Labels;;;;Labels All;Labels All
d299pnilunilcdnilvdnilvpnilvunil;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;;;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;Camera jiggle toggle;;;;Camera jiggle toggle;Camera jiggle toggle
d363pnilunilcdnilvdnilvpnilvunil;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Force cursor to show on/off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Force cursor to show on/off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Mouse cursor cockpit mode;Clickable mouse cockpit mode On/Off;Force cursor to show on/off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;;;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Force cursor to show on/off;Mouse cursor cockpit mode;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off;;;;Clickable mouse cockpit mode On/Off;Clickable mouse cockpit mode On/Off
d179pnilunilcdnilvdnilvpnilvunil;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;COMM Communication menu;COMM Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;COMM Communication menu;COMM Communication menu;COMM Communication menu;COMM Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;;;Communication menu;Communication menu;Communication menu;Communication menu;;Communication menu;Communication menu;Communication menu;;Communication menu;Communication menu;COMM Communication menu;COMM Communication menu;Radios Communication Menu Toggle;COMM Communication menu;COMM Communication menu;COMM Communication menu;Communication menu;Communication menu;Communication menu;Communication menu;COMM Communication menu;COMM Communication menu;Communication menu;Communication menu;;;;COMM Communication menu;COMM Communication menu
